P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
9,13,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMax,0.60081727309076383,0.031240637981763377,0.059142068040367979,0.086706709226034281,0.09612882417303624,0.11462514390891246,25
25,34,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.11507077169132346,0.05061178875130326,0.06289267317906265,0.089291794173487524,0.091687054913881808,0.13358537050755789,100
23,34,Needle In Haystack High,ThompsonSampling,DynamicGreedy,3000,HardMax,0.35383286685325865,0.040114030709952876,0.063320295795328108,0.084742965448073387,0.09182458348950899,0.13350180395761585,100
22,34,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMax,0.59833186725309884,0.035641862089977015,0.062323999653575067,0.084276215222783293,0.092113528308425396,0.13618100995817656,100
5,8,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.090981207516993193,0.075196901773530708,0.090797030502293638,0.054391170293531292,0.071666140426144678,0.10988290559746136,10
1,6,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.2634786085565774,0.074353881110516204,0.093363457833417582,0.040500732237404385,0.064629694481872266,0.10697334902563359,10
1,4,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.44197041183526597,0.073056697331802881,0.093749717205872843,0.037813507337201804,0.064557021073328349,0.10430294881242543,10
25,9,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.07955697720911635,0.089431685237641959,0.095004640313169589,0.058235846869609899,0.074667363506735196,0.11768857204807831,25
19,5,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.22554018392642938,0.08932176965226811,0.096027748364161794,0.052027179069949449,0.074882453027675711,0.11942493339799146,25
15,4,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.37686685325869651,0.089855220805508215,0.096369358398199115,0.049120063947007353,0.07336306549292694,0.1207897059236946,25
37,27,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.09273250699720112,0.090383533094451615,0.095124810514675043,0.065241360278650601,0.076132358357814539,0.14685883392661234,100
37,23,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.27375449820071968,0.086549885592045142,0.09578426140018971,0.06033666798242996,0.076608574627776538,0.14213094676595756,100
37,22,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.4562558976409436,0.085083789954967973,0.095276201818703041,0.059496858555255223,0.077960627334752911,0.13824642557958527,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.11041023590563775,0.032181183424837501,0.030112633613064144,0.061009389871997624,0.075159255701902197,0.064238514655335449,10
